URL,Verdict
http://www.midsouthcon.org/,-1
http://www.dpsg-braunschweig.de/,2
http://www.infovph.ca/infovph/adolescents/,2
http://www.howstuffworks.com/mardi-gras.htm,2
http://www.pantyhose-fetish-sex.com/pantyhose-fetish/pantyhose-fetish/,-2
http://www.pci.on.ca/,1
http://movies.ign.com/objects/142/14225998.html,2
http://www.whaleriderthemovie.com/,2
http://www.biffm.com/masturbation-blog/,-2
http://www.humoursexy.com/,-2
http://www.aeroporto.firenze.it/,1
http://www.easystands.com/,1
http://www.odloty.pl,-2
http://xbox.gamespy.com/xbox/top-spin/,2
http://www.papoosepondresort.com/,-1
http://igo.ampednews.com/,2
http://www.brianfarrington.co.uk,1
http://www.lillaworld.com/,2
http://www.pitt.edu/~dash/folktexts.html,2
http://members.chello.nl/h.heukshorst/kratslopers/,2
http://www.club-nikki.com/india/pornstars.htm,-2
http://therichardskids.com,2
http://www.theborisbrothers.com/facial-freaks/facials-index.htm,-2
http://kativik.net/ulluriaq/nunavik/inuitlife/,2
http://www.karas-adult-playground-karasxxx.com/tabbys-free-toy-sex.htm,-2
http://www.premiumskateboards.com/,1
http://positivevoid.co.uk/,-1
http://www.akt-owl.de/,-2
http://www.abouthealth.com/t_talking.htm,2
http://www.napoleon.org/,2
http://www.ditb.net/basement/,-2
http://www.plannedpethood.org/,-1
http://www.recipesource.com/soups/soups/03/rec0399.html,1
http://www.wqxr.com/cgi-bin/iowa/cla/learning/grove.html?record=5721,-1
http://www.sodbuster.com/kids%20articles/kid111797jc.htm,2
http://www.creative-harmonics.org/,-1
http://www.ucihs.uci.edu/biochem/steele/default.html,1
http://www.geocities.com/renee_10003/,-1
http://www.black-nylon.com/latinaecstasy/index.htm,-2
http://www.zsmltu.cz/stranky_trid/web-3c/,2
http://www.wildfleurs.com,-2
http://www.astro.ufl.edu/,1
http://www.taisei.co.jp/kids/,2
http://members.shaw.ca/serenity_ca4/,-2
http://www.fast-rewind.com/bluesbros.htm,-1
http://www.femalefirst.co.uk/board/,-2
http://www-history.mcs.st-and.ac.uk/history/mathematicians/kolmogorov.html,1
http://www.sex-marks.com/cr/fat/a.htm,-2
http://victorian.fortunecity.com/whistler/23/,-1
http://www.amateurbase.com/marissa1/index.html,-2
http://www.angelfire.com/tx5/skippersgolddust/,1
http://www.carascissoria.com/,-1
http://www.gamefaqs.com/console/ps2/data/919616.html,2
http://www.bbc.co.uk/nature/wildfacts/factfiles/683.shtml,2
http://www.geocities.com/liquid_evangelion/,2
http://www.thebestinfetish.com/free/ks/111802/,-2
http://crazy4cinema.com/review/filmsf/f_flirting_disaster.html,-1
http://www.generalxxx.com/only-hardcore-sex/index.shtml,-2
http://www.aaamobility.com,-1
http://teens.aol.com/style/prom-2007,2
http://unknowableroom.org,-1
http://www.kaboem.nl/,2
http://www.wallacesc.com/,-1
http://chicagobutts.com/,-2
http://christchapelpc.com/,-1
http://www.swfyachts.com/,-1
http://www.fileplanet.com/101510/0/section/the-legend-of-zelda:-twilight-princess,2
http://www.greatacoustics.org/,-1
http://canetoadbattle.com/,2
http://www.cageyklio.net/,-2
http://www.curiosphere.tv/napoleon/,2
http://popkornjunkie.com/reviews/maxkeeble.html,-1
http://users.tinyonline.co.uk/amchardy/mchardy/mchardy.htm,-1
http://www.cindilux.com/,1
http://www.cs.rutgers.edu/~watrous/chain-letters.html,-1
http://loro-s.webcindario.com/,2
http://wii.ign.com/objects/827/827200.html,2
http://www.linnmeyers.com/,-1
http://www.damtp.cam.ac.uk/#research,1
http://www.trouserpress.com/entry.php?a=big_boys-dicks,-1
http://www.dans-free-gay-thumbnails.com/,-2
http://www.puffers.org,-1
http://www.pelissms.com,-2
http://www.nonin.com/,1
http://www.angelfire.com/me3/create/,-1
http://www.cyberquicksex.com/freesites/maritza/amateurgirl.html,-2
http://www.heureka.clara.net/sunrise/hadep.htm,-1
http://www.killradio.org/,-1
http://www5.ocn.ne.jp/~cl-kobe/,2
http://www.urgenergy.com/,1
http://tnasupermarket.com/bambiewantsitbad/,-2
http://www.amateur-sex-amateursex.com/avs/amateur-models/,-2
http://spankmewithaspoon.blogspot.com/,-2
http://www.sexcount.de/,-2
http://spaceplace.jpl.nasa.gov/en/kids/svlbi_do1.shtml,2
http://episode-web.tv/,-2
http://www.colorado.edu/physics/2000/periodic_table/,2
http://www.pcbit.com/onlinetetris/,2
http://www.painlessbirth.net,1
http://www.jugendfeuerwehr-eichenzell.de/,2
http://www.xfanz.com,-2
http://www.gaultier-x.com/bbs/board1.html,-2
http://www.fdp.dk/,-1
http://www.whiteoak-aikido.org,1
http://us.imdb.com/name/nm0593474/,-1
http://www.chicagostrippers.com/,-2
http://www.lets-quit-smoking.de,-1
http://www.zoo.hr/,2
http://ne.dsi.unimi.it/,1
http://www.egypty.com/tofolah/,2
http://www.homemade-sex-toys.com/,-2
http://labor.vermont.gov/default.aspx?tabid=74,1
http://www.lechecaliente.com,-2
http://members.tripod.com/legofieldfireco/,2
http://www.dtic.mil/,1
http://www.cob.lu.se/engindex.html,1
http://ta-mere-a-poil.com,-2
http://www.nci-sw.com/control-cs.html,1
http://www.hapkido.fi,1
http://www.netherweb.com,1
http://www.cocolulu.info/,-2
http://gale.cengage.com/free_resources/bhm/bio/williams_s.htm,2
http://www.gaymalephonesex.com/dk.html,-2
http://www.ars.usda.gov//is/ar/archive/jan98/tool0198.htm,1
http://www.porngata.com/,-2
http://www.recipesource.com/side-dishes/beverages/orange-eggnog1.html,1
http://mob.ndbc.noaa.gov/cgi-bin/mob.cgi,-1
http://www.compusoftgroup.com/,1
http://www.zonamedica.com.ar/categorias/medicinailustrada/alergia/,2
http://www.escapefromknab.com/,2
http://www.freddynet.com/,-1
http://ucblibraries.colorado.edu/govpubs/for/drcongo.htm,2
http://www.geocities.com/hunt_typographer/,-1
http://gowild.net.nz/,-2
http://myblog.de/promisc/page/99122,-2
http://www.shorinji-kempo.se/,1
http://www.almightyzeus.com/babes/krystalsteal/,-2
http://www.century-bank.com/,1
http://www.sasksynod.elcic.ca/,-1
http://photo2.si.edu/legacy/legacy.html,-1
http://texasbeautysupplies.com/,-1
http://www.freewebs.com/missthang1194/,2
http://humanitiesweb.org/human.php?s=c&amp;p=i&amp;a=l&amp;id=6,2
http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/faq8266,1
http://www.ukrainianmuseum.org/,1
http://www.nexpath.com,1
http://www.aviation.uiuc.edu/,1
http://ucblibraries.colorado.edu/govpubs/for/sudan.htm,2
http://www.lunaweb.com/kitten.htm,2
http://www.100-asian-sex-pics.com/,-2
http://www.nhlbi.nih.gov/health/public/sleep/starslp/,2
http://www.milchlaw.com/,-1
http://www.pasionliberal.com,-2
http://elvispelvis.com/bono.htm,-1
http://www.free-sex-pictures-free-sex-pics-free.com/free-site/,-2
http://www.turnermotorsport.com/,-1
http://www.dildos.com.au,-2
http://www.yorkshirecopper.com/,1
http://www.archaeolink.com/anishinabe%20chippewa%20ojibwe%20indians.htm,2
http://groups.yahoo.com/group/subforsub/,-2
http://www.cetusscuba.co.za,-1
http://www.hcm.gr/,2
http://www.boobvision.com/,-2
http://library.thinkquest.org/j0110026/suefriends/parasaurolophus/,2
http://www.neenergyinc.com/northfield/ccski.asp,1
http://www.troutpond.com/,-1
http://www.cs.arizona.edu/patterns/weaving/books/bfp_glos_2.pdf,1
http://www.prin.edu/collegeathletics/index.pl/mbasket,1
http://www.sarrchasm.com,-1
http://www.northstarmedical.ca,1
http://www.s520.cc,2
http://kiisu.jpn.org/,-2
http://www.madebykiddies.com/,-1
http://www.mcfred.com/,1
http://joueusesm.fr/,-2
http://www.geocities.com/colosseum/stadium/9202/,1
http://utenti.lycos.it/gdesigns/gdbowiepage/,-1
http://www.acanomas.com/datomuestra.php?id=559,2
http://www.free-gay-sex-pics-gay-sex.com/anal-gay-sex/,-2
http://arthistory.heindorffhus.dk/frame-style16-postimpressionism02-gauguin.htm,2
http://gay-jock-cock.com/amateur-hung-jocks/,-2
http://www.luggagetags.net/,1
http://www.azcampsunrise.org/,2
http://www.proms.net/,2
http://imdb.com/title/tt0067975/combined,-1
http://www.hawkleyfc.co.uk/,1
http://www.publicexposurepictures.com/,-2
http://www.xenafan.com,-1
http://www.silverhawk.com//ex98/daltj/welcome.html,-1
http://www.manchesterstorm.co.uk/thunderflash/,1
http://www.sm-dresden.de/,-2
http://www.fkk-villa.de/seite.php?lang=jp&amp;seite=home,-2
http://www.hasbro.com/monkeybartv/,2
http://www.geocities.com/soho/2880/,-1
http://www.southface.org/web/resources&amp;services/publications/factsheets/sf_factsheet-menu.htm,1
http://www.airtoolz.com,1
http://vlib.iue.it/carrie/texts/carrie_books/,1
http://with.e-gekai.jp/,-2
http://sciencenews.org/view/generic/id/350/title/a_comets_long_tail_tickles_ulysses,1
http://www.volupiasexshop.com.br,-2
http://www.hot-free-sex-free-sex-free-sex-free-sex.com/cars-and-free-sex-pics/,-2
http://www.sexhosters.com/users/mako/fuck_fun/,-2
http://www.thanasis.com/myth.htm,2
http://www.sex-pics-1.com/avs/nothing-without-foreplay/ca/,-2
http://www.1up.com/do/gameoverview?cid=3158841,2
http://www.lohikan.com/staffrec.htm,1
http://www.erotik-katalog.net/,-2
http://www.thepositiveplace4kids.org/,2
http://www.xtrasex.com/x/granny/index.htm,-2
http://www.gagascorner.blogspot.com/,-1
http://www.jennajamesoncumshots.com/adult_stars/veronica_zemanova/,-2
http://devguide.org/,-2
http://www.onlineshakespeare.com/michell.htm,-1
http://www.genuinestainedglass.com/,-1
http://home.earthlink.net/~jesmith/writing-critique.html,-1
http://www.xxxwebhosting.com/,-2
http://www.biskotos.net/,2
http://www.gov.harvard.edu/,1
http://erotic-foreplay.com/massage/,-2
http://richthofen.com/scheer/,-1
http://www.carmenofleeds.co.uk/,-2
http://www.bbc.co.uk/history/worldwars/wwtwo/launch_ani_italy_campaign.shtml,2
http://www.smokingfetishxxx.com/,-2
http://www.newadvent.org/cathen/10437a.htm,-1
http://www.briarwood.edu/majorspage9.html,1
http://alic.lin.go.jp/recipe/win/,2
http://www.jagundercovers.com/,-2
http://www.tholofoto.dk/,-2
http://en.wikipedia.org/wiki/pika,2
http://www.hotel-ace.jp/,-2
http://www.k-free.co.uk/grab-page.html,1
http://www.angelfire.com/nd/goodbye/,2
http://groups.yahoo.com/group/blaquemercedez2005/,-2
http://www.aasianporno.com/free/,-2
http://www.bbc.co.uk/history/historic_figures/edward_iv_king.shtml,2
http://www.shaunaescort.com.au/,-2
http://www.china-fur-fabric.com/,1
http://gratis-spiele.at/,-2
http://www.hiltpewter.com/,-1
http://www.adultmoviebabes.com/,-2
http://www.brababes.com/webmasters.html,-2
http://www.littlenina.com,-2
http://movies.yahoo.com/shop?d=hv&amp;cf=info&amp;id=1800025460,-1
http://www.podiatrycanada.org/,1
http://wii.ign.com/objects/142/14235413.html,2
http://www.balet.de/,2
http://www.yaurs.com/,1
http://www.apostilando.com/,2
http://www.uncensored-sex-video.com/,-2
http://www.angelfire.com/mo2/animals1/welcome.html,1
http://www.advox.se/,1
http://www.hot-girls-usa.com/hairy-pussy/gp/,-2
http://www.echocamp.org/,2
http://www.dtsav.com/,-1
http://www.apollos.com/,-2
http://liceuldeartaionelperlea.3xforum.ro/,2
http://www.pussy-free-sex-pics-free-sex.com/fabulous-free-sex/,-2
http://piedmontgeologic.com/,1
http://www.larrytalley.com,-1
http://seahawks.gonorthwood.com/,1
http://www.arkmay.com/tetris/,-2
http://www.centerfoldsofvegas.com/,-2
http://www.sterlingpublications.com/textiletechnologyinternational.htm,1
http://www.peepleasures.com/,-2
http://www.cpc.tcu.edu/,1
http://www.nunnie.com/fish.html,-1
http://www.pro-xhost.com/,-2
http://flyingmoose.org/tolksarc/bakshi/bakshi.htm,-1
http://www.ahrensfluchter-theaterwerkstatt.de/,2
http://www.bileta.ac.uk,-1
http://www.percevalpress.com,-1
http://www.all-acronyms.com,1
http://tucows.blueyonder.co.uk/,1
https://www.taxsimple.com/,1
http://www.sff.net/people/lynn.abbey/,-1
http://www.thecarlsontwins.com/,1
http://www.linas.org/linux/load.html,1
http://www.knits.in/,1
http://www.new-erotica.com/review/avs.htm,-2
http://www.geocities.com/tokyo/flats/4396/language.html,1
http://www.nude-india.com/,-2
http://www.extreme-hawaii.com/business/bps/,1
http://northtechs.com,1
http://nds.gamezone.com/gamesell/p33716.htm,2
http://www.globus.co.uk/,-1
http://www.sp3plus.co.uk,1
http://www.flexleasefinancial.com/,1
http://www.who.int/countries/ecu/en/,2
http://www.btinternet.com/~whitkirk/,-1
http://www.sqlmag.com/,1
http://www.crystalisinstitute.com/,1
http://www.barfliers.com/,1
http://www.erdbeerfee.com/,-2
http://www.gaitedhorses.net/breedarticles/pasofino.htm,1
http://www.pbs.org/newshour/bb/race_relations/jan-june97/king_1-15.html,2
http://www.smarterdollars.com/,1
http://www.freewebs.com/momsheathenshop/,-1
http://www.adolec.org.mx/espadol/consult/index.htm,2
http://www.x-north.com/leigh/,-2
http://bostonmethodist.org.uk/,-1
http://www.hc11.demon.nl/thrsim11/thrsim11.htm,1
